,Sangli,Satara,Kolhapur,Pune,Akola,Amravati,Yavatmal,Aurangabad,Jalna,Osmanabad,Nanded,Latur,Hingoli,Chandrapur,Gondia,Nagpur,Wardha,Nandurbar,Nashik,Ahmednagar,Palghar,Raigad,Ratnagiri,Sindhudurg,Mumbai
Nanded,372.4211017462567,372.325500605379,433.0956841833409,386.3634036108889,187.51777475672895,229.23239610023708,151.84336575650408,240.51587011215665,191.8523775233518,176.39490701348373,0.0,112.39737451911334,59.276473462990054,238.77951777927436,385.15784510382207,282.4296572300869,225.37931416864197,407.24569835933124,399.28179631275,275.2853781275339,491.8933381327283,461.2262329393461,469.5445808232021,521.3446300571416,482.8311780604843
Latur,263.8418079953787,271.1628734076792,322.87999757756546,305.9219496616781,271.2841541787045,324.54105416441433,261.3179983120135,225.1665846188933,197.06036011991935,70.12653476212293,112.39737451911334,0.0,139.11902213339272,347.02995766524634,497.37461693026063,394.20577838155526,336.2253970776076,420.110324586776,361.1728512321399,218.71017183816434,437.9958877387442,381.0955651828893,368.03555225745345,410.55022301249625,415.3324813893804
Hingoli,378.50802819489553,368.93764041551844,441.39170197896664,366.069585408593,135.41786471242398,185.54985516685994,131.33630555806158,195.2277952591501,142.3687198283816,188.2702274080795,59.276473462990054,139.11902213339272,0.0,250.9622882347941,379.13142062727127,266.92771939019417,206.80488558575107,350.37577381608736,357.08171716291696,246.02699503013926,454.77874827767334,439.0040476047362,464.61643656410064,530.1494272424416,452.69557169221446
Chandrapur,610.3063650550858,610.9228770582475,669.9085546087963,616.8468819199439,251.4931078115215,226.02026128459045,146.69430215931064,435.00163400444666,379.3338395482164,414.3701020649853,238.77951777927436,347.02995766524634,250.9622882347941,0.0,166.93172452262985,124.8023551989965,122.98659542976151,538.2852224777768,595.6126845907652,496.4854810126684,698.3479271089386,689.9661036342586,708.0444270650156,757.4704557506741,701.7505347433225
Gondia,755.3134108057405,748.0688316344009,817.1145317195534,736.8934356828878,320.3168071397849,265.8912673372879,249.31962579547422,533.7267531746747,480.2061725036221,560.3744241938199,385.15784510382207,497.37461693026063,379.13142062727127,166.93172452262985,0.0,120.05744798816427,178.09715637527358,583.8926650990517,683.6918215219426,610.8574789736472,790.4060303104785,805.9078764273805,843.5427230814605,905.6920681312209,805.901599051871
Nagpur,645.3969557091344,634.432953699037,708.1247938557298,618.5619052952607,200.49476615611533,148.77303207844102,135.60688227782316,413.7720118777013,360.50504877345577,452.985262603027,282.4296572300869,394.20577838155526,266.92771939019417,124.8023551989965,120.05744798816427,0.0,60.441944397385306,471.0682016328701,563.9524841011095,492.0649723426378,670.558036245515,686.7942558210411,728.8363650562264,796.8915535909995,685.8997880868338
Wardha,585.311759610518,573.9953869730746,648.1626490374454,558.9839875885451,147.56402260606058,106.7900353449442,75.71907677468518,356.4620152753911,302.44397705405976,393.5862148515232,225.37931416864197,336.2253970776076,206.80488558575107,122.98659542976151,178.09715637527358,60.441944397385306,0.0,428.20770993152655,509.53514065107487,432.7881441085551,615.6055632530158,627.8107362370935,668.4122447142157,736.9266018114474,628.6744676596811
Nandurbar,481.7503222046041,431.0529167863971,534.7824459612392,339.6992175548702,286.8035368012816,323.2193573176638,393.3807044840701,199.65602489688337,224.49120119703846,405.9484940256979,407.24569835933124,420.110324586776,350.37577381608736,538.2852224777768,583.8926650990517,471.0682016328701,428.20770993152655,0.0,184.0626710931815,263.005343682768,270.12519223754293,365.7534944351036,483.0259071136893,604.0219188481691,320.8901000798404
Nashik,325.88512997402194,268.8664597673274,370.11856466432926,165.43311185643526,363.45786737450305,419.91253079171065,451.9474131116372,162.21481642177667,217.21349161769538,318.27247717022624,399.28179631275,361.1728512321399,357.08171716291696,595.6126845907652,683.6918215219426,563.9524841011095,509.53514065107487,184.0626710931815,0.0,146.01342848280018,107.05923987147474,181.7932622840807,304.7640105041914,430.23837216707807,140.72199727371645
Ahmednagar,222.64429025867312,179.3394903954027,280.604954045076,127.15395260782036,301.1936756546587,364.74447784530656,363.9449308216166,93.8843163402343,135.09919774352556,172.2662066258477,275.2853781275339,218.71017183816434,246.02699503013926,496.4854810126684,610.8574789736472,492.0649723426378,432.7881441085551,263.005343682768,146.01342848280018,0.0,220.47384362173523,195.31476114831665,255.566591184542,359.2294965418594,207.75572226638528
Palghar,334.7562494003228,275.03150877602224,362.91728742983605,168.24646734406025,470.0956454973648,526.9475458071473,556.2618267040127,263.34866729686564,319.02209140882525,384.293697104846,491.8933381327283,437.9958877387442,454.77874827767334,698.3479271089386,790.4060303104785,670.558036245515,615.6055632530158,270.12519223754293,107.05923987147474,220.47384362173523,0.0,136.2519644241256,274.68152830266627,403.3235943591451,67.47958675367349
Raigad,211.81044551780795,154.95459101761514,230.29105312670555,75.43939776941603,492.7749144932641,555.3072262058984,559.247866381852,277.09745115575214,327.1236086286185,315.8779678381501,461.2262329393461,381.0955651828893,439.0040476047362,689.9661036342586,805.9078764273805,686.7942558210411,627.8107362370935,365.7534944351036,181.7932622840807,195.31476114831665,136.2519644241256,0.0,138.43013518517304,267.12957850605255,70.48869227475504
Ratnagiri,120.34600400966622,97.29833952082406,105.11895667076898,143.7110539564525,549.9429170711084,613.9164232565219,594.5126271859539,349.3440206880812,387.2533279499267,297.9461634484688,469.5445808232021,368.03555225745345,464.61643656410064,708.0444270650156,843.5427230814605,728.8363650562264,668.4122447142157,483.0259071136893,304.7640105041914,255.566591184542,274.68152830266627,138.43013518517304,0.0,128.92801040802755,208.3909419666219
Sindhudurg,152.0040548469021,180.04750896803583,88.76699091392334,265.5609397942075,634.1506332465722,697.1682990995465,661.3168186922092,451.6571447899678,480.5678207232373,345.3391276494234,521.3446300571416,410.55022301249625,530.1494272424416,757.4704557506741,905.6920681312209,796.8915535909995,736.9266018114474,604.0219188481691,430.23837216707807,359.2294965418594,403.3235943591451,267.12957850605255,128.92801040802755,0.0,336.60976092214685
Mumbai,277.79045401869547,219.02793379217962,300.2746584198939,119.72904198136459,487.18024630426163,547.3158798941297,564.402495701356,272.22949835061286,326.5796657647078,355.2311703797539,482.8311780604843,415.3324813893804,452.69557169221446,701.7505347433225,805.901599051871,685.8997880868338,628.6744676596811,320.8901000798404,140.72199727371645,207.75572226638528,67.47958675367349,70.48869227475504,208.3909419666219,336.60976092214685,0.0
